route,t,pax,revenue,records,fare_unweighted,dl,nw,dl_any,nw_any,dl_direct,nw_direct,legacy,direct_pax,distance,unknown_pax,fare,lnfare,direct_share,dl_active,nw_active,legacy_active,both_active,group,pax_pre,fare_pre,direct,distance_pre,treated,yr,qtr
BUF-LAX,6,1948,404649.00135803205,33,212.96733324455496,100,232,301,237,0,0,330,132,2215,0,207.72536004005752,5.3362168228029185,0.06776180698151951,1,1,1,True,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2006,2
BUF-LAX,7,2266,455250.0020904542,35,197.59202357700897,137,397,381,398,0,0,323,150,2215,0,200.90467876895596,5.302830560593785,0.06619593998234775,1,1,1,True,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2006,3
BUF-LAX,8,1690,347729.0013580321,30,214.69442240397134,109,183,264,183,0,0,316,91,2215,0,205.7568055372971,5.3266949157406405,0.05384615384615385,1,1,1,True,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2006,4
BUF-LAX,9,1753,293824.00410461426,30,204.413237508138,138,184,428,184,0,0,233,87,2215,0,167.61209589538748,5.121652356657295,0.04962920707358814,1,1,1,True,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2007,1
BUF-LAX,10,1979,395949.0034942626,38,235.06399817215765,108,215,382,216,0,0,408,75,2215,0,200.07529231645407,5.298693757286425,0.037897928246589184,1,1,1,True,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2007,2
BUF-LAX,11,2606,558801.004776001,42,231.33570425851008,175,188,474,189,0,0,450,104,2215,0,214.42862807981618,5.3679769467744585,0.039907904834996163,1,1,1,True,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2007,3
BUF-LAX,12,2114,425285.9960632323,41,214.48506648366035,231,86,597,95,0,0,369,26,2215,0,201.17596786340224,5.304179987072704,0.01229895931882687,1,0,1,False,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2007,4
BUF-LAX,13,1647,308979.0017700195,35,188.8942160470145,111,127,313,128,0,0,403,28,2215,0,187.60109397086794,5.234317867956337,0.01700060716454159,1,1,1,True,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2008,1
BUF-LAX,14,2112,403710.99748229963,42,213.2734204246884,77,226,359,228,0,0,545,42,2215,0,191.15104047457368,5.253063903363672,0.019886363636363636,0,1,1,False,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2008,2
BUF-LAX,15,3040,612678.996231079,43,218.21070258561952,216,190,492,196,0,0,547,91,2215,0,201.53914349706545,5.305983623051946,0.02993421052631579,1,1,1,True,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2008,3
BUF-LAX,16,2344,429800.0030517577,39,222.45860212277142,376,86,614,87,0,0,371,39,2215,0,183.3617760459717,5.211461119594057,0.016638225255972697,1,0,1,False,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2008,4
BUF-LAX,17,1978,307101.0020065306,37,172.9712235734269,194,98,374,161,0,0,316,66,2215,0,155.25834277377683,5.0450904570430515,0.033367037411526794,1,0,1,False,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2009,1
BUF-LAX,18,2352,391131.0010528567,41,166.08200873398198,181,230,308,262,0,0,502,44,2215,0,166.29719432519417,5.113776514891163,0.01870748299319728,1,1,1,True,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2009,2
BUF-LAX,19,2927,529892.0044403075,42,182.23352559407547,259,114,373,166,0,0,535,48,2215,0,181.03587442443032,5.198695212866501,0.016399043389135635,1,0,1,False,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2009,3
BUF-LAX,20,2523,463135.99920654274,42,181.02290689377554,189,137,266,212,0,0,451,77,2215,0,183.56559619759918,5.212572076083046,0.030519223147047168,1,1,1,True,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2009,4
BUF-LAX,21,2081,345596.9954147341,33,179.84896688750297,236,3,442,3,0,0,337,19,2215,0,166.07255906522542,5.112424795657504,0.00913022585295531,1,0,1,False,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2010,1
BUF-LAX,22,2430,464949.0050277706,34,184.4637211070341,165,1,469,1,0,0,532,1,2215,0,191.33703910607844,5.254036475614132,0.00041152263374485596,1,0,1,False,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2010,2
BUF-LAX,23,2646,582726.9979705809,40,244.88507804870605,256,0,471,0,0,0,479,31,2215,0,220.2294021052838,5.394669739922127,0.011715797430083144,1,0,1,False,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2010,3
BUF-LAX,24,1845,392329.0035400392,35,226.46311383928574,113,0,337,0,0,0,320,102,2215,0,212.64444636316486,5.359621505032083,0.055284552845528454,1,0,1,False,overlap,2113.0,195.82299603876498,0.03493349986850009,2215.0,1,2010,4
BUF-SAN,1,844,145724.00289916986,19,195.86975017346836,36,106,97,109,0,0,138,7,2195,0,172.65877120754723,5.151317225948664,0.008293838862559242,0,1,1,False,overlap,1124.75,194.10755204888207,0.09138126332298202,2195.0,1,2005,1
