route,nq,pax_min,pax_pre,fare_pre,dl_q,nw_q,both_q,legacy_q,dl_any,nw_any,direct,distance,dl_direct,nw_direct,unknown_pax,group,eligible,direct_overlap,original_treated
ONT-XNA,4,170,275.25,216.70975108535998,0,0,0,4,120,0,0.0,1324.0,0,0,0,other,True,False,False
ONT-YAK,1,1,1.0,404.0,0,0,0,1,0,0,0.0,2026.0,0,0,0,other,False,False,False
ONT-YKM,4,38,52.5,219.44267326898492,0,0,0,0,10,0,0.00423728813559322,879.0,0,0,0,other,False,False,False
ONT-YUM,4,1,2.5,169.8,0,0,0,1,0,0,0.0,199.0,0,0,0,other,False,False,False
ORD-ORF,4,2158,2673.5,155.99064294537033,0,0,0,3,155,236,0.8092730671614723,717.0,0,25,0,other,True,False,False
ORD-OTH,4,1,9.5,399.5486279288491,0,0,0,0,0,0,0.0,1835.0,0,0,0,other,False,False,False
ORD-OTZ,2,2,3.0,822.0,0,0,0,2,0,0,0.0,3196.0,0,0,0,other,False,False,False
ORD-OWB,1,11,11.0,159.090911865234,0,0,0,0,0,0,0.0,296.0,0,0,0,other,False,False,False
ORD-OXR,4,45,47.5,306.57549632390345,0,0,0,0,0,0,0.0,1776.0,0,0,0,other,False,False,False
ORD-PAH,4,24,30.0,184.89363459786713,0,0,0,0,0,118,0.0,343.0,0,0,0,other,False,False,False
ORD-PBI,4,2400,3937.0,146.09557754512892,1,0,0,4,792,51,0.7632653753115379,1147.0,13,7,0,other,True,False,False
ORD-PDT,3,1,1.6666666666666667,308.0,0,0,0,0,0,0,0.0,1555.0,0,0,0,other,False,False,False
ORD-PDX,4,3741,5040.25,234.62675514684435,0,0,0,4,496,229,0.8188037498514363,1737.0,16,6,0,other,True,False,False
ORD-PFN,4,140,176.5,207.9773064382847,0,0,0,0,295,379,0.0,823.0,0,0,0,other,True,False,False
ORD-PGA,4,2,3.25,213.74999872843415,0,0,0,0,0,0,0.0,1301.0,0,0,0,other,False,False,False
ORD-PGV,4,47,69.25,199.59442114486814,0,0,0,0,0,0,0.0,716.0,0,0,0,other,False,False,False
ORD-PHF,4,65,110.75,192.29997269220686,4,0,0,2,109,0,0.0,694.0,0,0,0,other,False,False,False
ORD-PHL,4,13394,17353.0,143.25223880756832,0,0,0,4,70,402,0.9682860583175694,677.0,0,68,0,other,True,False,False
ORD-PHX,4,18149,20502.75,160.7507203050622,0,0,0,4,427,409,0.9535933912878376,1439.0,19,1,0,other,True,False,False
ORD-PIA,4,72,91.75,200.72905871326293,0,0,0,0,0,0,0.9977272727272728,130.0,0,0,0,other,False,False,False
ORD-PIB,4,20,26.75,185.80188762780364,0,0,0,0,0,106,0.0,731.0,0,0,0,other,False,False,False
ORD-PIE,4,1261,1461.5,114.40538964327746,0,0,0,0,0,0,0.9074174903210244,1017.0,0,0,0,other,True,False,False
ORD-PIH,4,2,4.0,399.7232123783657,0,0,0,0,14,0,0.0,1258.0,0,0,0,other,False,False,False
ORD-PIR,4,4,12.0,270.23380778128615,0,0,0,0,0,45,0.0,646.0,0,0,0,other,False,False,False
ORD-PIT,4,5419,6414.25,108.33870568541154,0,0,0,4,60,110,0.9801614632582579,412.0,0,8,0,other,True,False,False
ORD-PKB,4,2,6.0,251.5777793884278,0,0,0,0,0,0,0.0,385.0,0,0,0,other,False,False,False
ORD-PLN,4,18,24.0,265.7617068971905,0,0,0,0,0,94,0.0,293.0,0,0,0,other,False,False,False
ORD-PMD,3,2,6.333333333333333,251.91666666666666,0,0,0,0,0,0,0.0,1705.0,0,0,0,other,False,False,False
ORD-PNS,4,740,965.25,196.86126531437108,4,0,0,0,712,156,0.6326173236693718,797.0,34,0,0,other,True,False,False
ORD-PQI,3,6,9.333333333333334,382.9301590692432,0,0,0,0,0,0,0.0,1032.0,0,0,0,other,False,False,False
ORD-PRC,4,1,3.0,292.85713958740223,0,0,0,0,0,0,0.0,1418.0,0,0,0,other,False,False,False
ORD-PSC,4,97,148.5,304.24064615578243,0,0,0,0,91,0,0.0,1568.0,0,0,0,other,False,False,False
ORD-PSE,4,11,30.25,157.44446691928553,0,0,0,4,2,0,0.008620689655172414,0.0,0,0,0,other,False,False,False
ORD-PSG,1,2,2.0,49.0,0,0,0,1,0,0,0.0,2219.0,0,0,0,other,False,False,False
ORD-PSP,4,766,1650.0,223.09249004202493,0,0,0,4,31,15,0.6526241318937894,1651.0,0,0,0,other,True,False,False
ORD-PUB,3,2,5.0,213.3015899658203,0,0,0,0,0,0,0.0,912.0,0,0,0,other,False,False,False
ORD-PUW,4,7,11.0,317.6747822782178,0,0,0,0,0,0,0.0,1472.0,0,0,0,other,False,False,False
ORD-PVC,1,4,4.0,311.25,0,0,0,0,0,0,0.0,907.0,0,0,0,other,False,False,False
ORD-PVD,4,2673,3399.25,159.5229541823661,0,0,0,4,11,256,0.9173449723134233,848.0,0,4,0,other,True,False,False
ORD-PWM,4,786,1112.5,227.78364233521722,0,0,0,0,20,75,0.6604231668240818,899.0,0,0,0,other,True,False,False
ORD-RAP,4,96,230.0,286.5940551782095,0,4,0,0,1,305,0.3546481153763589,779.0,0,0,0,other,False,False,False
ORD-RDD,4,14,31.75,351.58252528632374,0,0,0,0,0,0,0.0,1780.0,0,0,0,other,False,False,False
ORD-RDM,4,123,161.75,267.85040936462843,0,0,0,4,123,0,0.0,1675.0,0,0,0,other,True,False,False
ORD-RDU,4,5010,6684.5,138.86618525030343,0,0,0,4,165,95,0.9324509050773536,647.0,1,2,0,other,True,False,False
ORD-RHI,4,8,9.75,311.67548003563513,0,0,0,0,0,37,0.0,264.0,0,0,0,other,False,False,False
ORD-RIC,4,2056,2796.25,210.49997201957973,0,0,0,4,74,41,0.8306071860241708,642.0,0,0,0,other,True,False,False
ORD-RIW,4,7,9.75,331.3055572509765,0,0,0,0,0,0,0.0,1048.0,0,0,0,other,False,False,False
ORD-RKD,1,1,1.0,403.0,0,0,0,0,0,0,0.0,960.0,0,0,0,other,False,False,False
ORD-RKS,4,5,8.25,294.01666692097984,0,0,0,0,0,0,0.0,1089.0,0,0,0,other,False,False,False
ORD-RNO,4,1564,1778.75,186.9565779979826,3,0,0,4,530,0,0.6085745198037933,1669.0,69,0,0,other,True,False,False
ORD-ROA,4,561,677.75,236.73081077443993,0,0,0,0,16,72,0.7768921132835168,531.0,0,0,0,other,True,False,False
ORD-ROC,4,1298,1809.75,210.62790048427698,0,0,0,4,3,61,0.9018285254088911,527.0,1,0,0,other,True,False,False
ORD-ROW,1,9,9.0,258.0,0,0,0,0,0,0,0.0,1088.0,0,0,0,other,False,False,False
ORD-RST,4,520,788.75,132.7843050833332,0,0,0,0,0,78,0.9740127851935066,268.0,0,2,0,other,True,False,False
ORD-RSW,4,6675,10423.5,129.79041893538067,0,0,0,4,1032,246,0.9010022868429297,1124.0,0,0,0,other,True,False,False
ORD-RUT,1,1,1.0,255.0,0,0,0,0,0,0,0.0,766.0,0,0,0,other,False,False,False
ORD-SAF,4,8,9.75,407.90972328186035,0,0,0,0,0,0,0.0,1072.0,0,0,0,other,False,False,False
ORD-SAN,4,8166,8671.25,196.33359863744653,0,0,0,4,312,90,0.8959705205768442,1722.0,2,0,0,other,True,False,False
ORD-SAT,4,4515,4710.0,165.95419797881289,0,0,0,4,108,330,0.8838552786542062,1043.0,5,0,0,other,True,False,False
ORD-SAV,4,1493,1817.75,191.48546871252188,4,0,0,0,539,25,0.7868662537498927,775.0,30,0,0,other,True,False,False
ORD-SBA,4,379,462.5,233.90470319266157,0,0,0,1,38,0,0.0,1801.0,0,0,0,other,True,False,False
