route,nq,pax_min,pax_pre,fare_pre,dl_q,nw_q,both_q,legacy_q,dl_any,nw_any,direct,distance,dl_direct,nw_direct,unknown_pax,group,eligible,direct_overlap,original_treated
EUG-PDX,4,132,156.25,76.72241038743554,0,0,0,4,0,0,0.9950689762070837,106.0,0,0,0,unexposed_legacy,True,False,False
EWR-GEG,4,197,246.5,303.65772031394516,3,4,3,4,127,205,0.04040911875074805,2175.0,0,23,0,overlap,True,False,False
EWR-SMF,4,617,833.25,272.5866469935608,4,4,4,4,602,223,0.04532807639337563,2498.0,66,5,0,overlap,True,False,False
EWR-VPS,4,125,186.25,250.2144572723251,4,4,4,0,410,177,0.02069216961559083,1005.0,3,13,0,overlap,True,False,False
FAI-JNU,4,212,259.5,240.6855345486993,0,0,0,4,0,0,0.12439962190563023,623.0,0,0,0,unexposed_legacy,True,False,False
FAI-PDX,4,101,158.5,385.94094621469617,0,0,0,4,0,0,0.03923015021459228,1639.0,0,0,0,unexposed_legacy,True,False,False
FLL-LIT,4,513,566.25,177.4583312016436,4,4,4,0,843,283,0.015762276747475636,936.0,0,0,0,overlap,True,False,False
FLL-MEM,4,960,1236.5,191.6291914074119,3,4,3,0,529,2982,0.6287575678574482,852.0,0,2845,0,overlap,True,False,False
GEG-IAD,4,277,358.0,239.6839146468224,4,4,4,4,271,223,0.007425886315463459,2080.0,0,0,0,overlap,True,False,False
GEG-PHL,4,330,437.25,231.60944994818516,4,4,4,4,363,430,0.03123459510513779,2152.0,7,24,0,overlap,True,False,False
GEG-PIT,4,126,180.0,252.07767377165806,3,4,3,4,127,179,0.02459016393442623,1899.0,0,0,0,overlap,True,False,False
GEG-RDU,4,224,265.5,238.63902086921533,4,4,4,3,240,395,0.04484465659501732,2132.0,0,38,0,overlap,True,False,False
GEG-SEA,4,10569,12220.5,87.92120723002677,0,0,0,4,0,0,0.9962573180083052,223.0,0,0,0,unexposed_legacy,True,False,False
GPT-LGA,4,308,344.75,172.1242995084664,4,3,3,0,572,275,0.0006868131868131869,1113.0,0,1,0,overlap,True,False,False
GPT-MCI,4,178,204.5,177.68924835248058,3,4,3,0,157,319,0.025524150798198485,693.0,12,8,0,overlap,True,False,False
GPT-MCO,4,287,315.5,175.3028592658971,4,3,3,0,670,161,0.0007374631268436578,486.0,0,0,0,overlap,True,False,False
GPT-STL,4,127,160.5,214.3731422416627,3,4,3,0,162,261,0.02197802197802198,582.0,16,0,0,overlap,True,False,False
HNL-LGA,4,186,291.75,416.1038116781786,4,4,4,4,221,161,0.0,4974.0,0,0,0,overlap,True,False,False
HNL-PHL,4,1057,1196.0,364.870870357866,4,3,3,4,1175,543,0.0006876291715560681,4917.0,0,3,0,overlap,True,False,False
HNL-SDF,4,115,199.25,398.3449045573962,4,3,3,1,270,100,0.0,4381.0,0,0,0,overlap,True,False,False
HNL-SFO,4,9535,11324.25,224.52665235057196,3,4,3,4,4484,4998,0.9524124777684716,2399.0,4259,4970,0,overlap,True,True,False
IAD-MEM,4,365,399.75,211.46176195771838,4,3,3,0,215,119,0.006010529298200531,742.0,2,0,0,overlap,True,False,False
IAD-RDU,4,1111,1165.25,187.96581029207593,0,0,0,3,0,0,0.9902401908919953,224.0,0,0,0,unexposed_legacy,True,False,False
IAD-SDF,4,300,379.0,152.73782881330092,3,4,3,0,155,281,0.025990357415007423,451.0,0,18,0,overlap,True,False,False
IAH-MFE,4,1813,1999.5,115.73202967603692,0,0,0,4,0,0,0.9871300648454295,317.0,0,0,0,unexposed_legacy,True,False,False
IAH-MSY,4,7080,7364.5,127.77780989474422,0,0,0,4,0,0,0.9944783190308781,305.0,0,0,0,unexposed_legacy,True,False,False
IAH-SAT,4,1918,2057.0,106.96665142228328,0,0,0,4,0,0,0.9927674433892437,191.0,0,0,0,unexposed_legacy,True,False,False
ICT-ONT,4,127,167.75,249.48312041851506,0,0,0,4,0,0,0.0,1156.0,0,0,0,unexposed_legacy,True,False,False
ICT-RNO,4,101,106.5,273.0434904585904,0,0,0,4,0,0,0.0,1212.0,0,0,0,unexposed_legacy,True,False,False
ICT-TUS,4,106,141.0,263.77237978223496,0,0,0,4,0,0,0.027925531914893616,856.0,0,0,0,unexposed_legacy,True,False,False
IND-JAX,4,1822,2224.5,113.18622806913473,4,4,4,4,1222,633,0.46132751718955445,690.0,0,9,0,overlap,True,False,False
IND-MSY,4,862,945.0,168.72115617546834,4,4,4,4,562,949,0.031063814158568605,710.0,30,41,0,overlap,True,False,False
IND-STL,4,133,152.5,181.66061670683854,0,0,0,4,0,0,0.032563016680469875,229.0,0,0,0,unexposed_legacy,True,False,False
